Home_Team,Away_team,horário do jogo
México,África do Sul,2026-06-11T19:00:00.000Z
Coreia do Sul,República Tcheca,2026-06-12T02:00:00.000Z
Canadá,Bósnia,2026-06-12T19:00:00.000Z
Estados Unidos,Paraguai,2026-06-13T01:00:00.000Z
Catar,Suíça,2026-06-13T19:00:00.000Z
Brasil,Marrocos,2026-06-13T22:00:00.000Z
Haiti,Escócia,2026-06-14T01:00:00.000Z
Austrália,Turquia,2026-06-14T04:00:00.000Z
Alemanha,Curaçao,2026-06-14T17:00:00.000Z
Holanda,Japão,2026-06-14T20:00:00.000Z
Costa do Marfim,Equador,2026-06-14T23:00:00.000Z
Suécia,Tunísia,2026-06-15T02:00:00.000Z
Espanha,Cabo Verde,2026-06-15T16:00:00.000Z
Bélgica,Egito,2026-06-15T19:00:00.000Z
Arábia Saudita,Uruguai,2026-06-15T22:00:00.000Z
Irã,Nova Zelândia,2026-06-16T01:00:00.000Z
França,Senegal,2026-06-16T19:00:00.000Z
Iraque,Noruega,2026-06-16T22:00:00.000Z
Argentina,Argélia,2026-06-17T01:00:00.000Z
Áustria,Jordânia,2026-06-17T04:00:00.000Z
Portugal,RD Congo,2026-06-17T17:00:00.000Z
Inglaterra,Croácia,2026-06-17T20:00:00.000Z
Gana,Panamá,2026-06-17T23:00:00.000Z
Uzbequistão,Colômbia,2026-06-18T02:00:00.000Z
República Tcheca,África do Sul,2026-06-18T16:00:00.000Z
Suíça,Bósnia,2026-06-18T19:00:00.000Z
Canadá,Catar,2026-06-18T22:00:00.000Z
México,Coreia do Sul,2026-06-19T01:00:00.000Z
Estados Unidos,Austrália,2026-06-19T19:00:00.000Z
Escócia,Marrocos,2026-06-19T22:00:00.000Z
Brasil,Haiti,2026-06-20T00:30:00.000Z
Turquia,Paraguai,2026-06-20T04:00:00.000Z
Holanda,Suécia,2026-06-20T17:00:00.000Z
Alemanha,Costa do Marfim,2026-06-20T20:00:00.000Z
Equador,Curaçao,2026-06-21T00:00:00.000Z
Tunísia,Japão,2026-06-21T04:00:00.000Z
Espanha,Arábia Saudita,2026-06-21T16:00:00.000Z
Bélgica,Irã,2026-06-21T19:00:00.000Z
Uruguai,Cabo Verde,2026-06-21T22:00:00.000Z
Nova Zelândia,Egito,2026-06-22T01:00:00.000Z
Argentina,Áustria,2026-06-22T17:00:00.000Z
França,Iraque,2026-06-22T21:00:00.000Z
Noruega,Senegal,2026-06-23T00:00:00.000Z
Jordânia,Argélia,2026-06-23T03:00:00.000Z
Portugal,Uzbequistão,2026-06-23T17:00:00.000Z
Inglaterra,Gana,2026-06-23T20:00:00.000Z
Panamá,Croácia,2026-06-23T23:00:00.000Z
Colômbia,RD Congo,2026-06-24T02:00:00.000Z
Suíça,Canadá,2026-06-24T19:00:00.000Z
Bósnia,Catar,2026-06-24T19:00:00.000Z
Marrocos,Haiti,2026-06-24T22:00:00.000Z
Escócia,Brasil,2026-06-24T22:00:00.000Z
África do Sul,Coreia do Sul,2026-06-25T01:00:00.000Z
República Tcheca,México,2026-06-25T01:00:00.000Z
Equador,Alemanha,2026-06-25T20:00:00.000Z
Curaçao,Costa do Marfim,2026-06-25T20:00:00.000Z
Tunísia,Holanda,2026-06-25T23:00:00.000Z
Japão,Suécia,2026-06-25T23:00:00.000Z
Turquia,Estados Unidos,2026-06-26T02:00:00.000Z
Paraguai,Austrália,2026-06-26T02:00:00.000Z
Senegal,Iraque,2026-06-26T19:00:00.000Z
Noruega,França,2026-06-26T19:00:00.000Z
Cabo Verde,Arábia Saudita,2026-06-27T00:00:00.000Z
Uruguai,Espanha,2026-06-27T00:00:00.000Z
Egito,Irã,2026-06-27T03:00:00.000Z
Nova Zelândia,Bélgica,2026-06-27T03:00:00.000Z
Croácia,Gana,2026-06-27T21:00:00.000Z
Panamá,Inglaterra,2026-06-27T21:00:00.000Z
RD Congo,Uzbequistão,2026-06-27T23:30:00.000Z
Colômbia,Portugal,2026-06-27T23:30:00.000Z
Jordânia,Argentina,2026-06-28T02:00:00.000Z
Argélia,Áustria,2026-06-28T02:00:00.000Z
